fact_id,variant_id,layer,is_correct,n_active_features,feature_l1_norm,feature_l2_norm,max_feature_value,top_feature_indices,top_feature_values
fact_0001,original,6,True,31,170.68263244628906,43.76921844482422,23.845287322998047,15079 6097 6201 5275 13460 13073 2270 716 11159 5509 12589 13202 3499 5730 11908 12513 9687 5989 5004 2747,23.845287 22.138836 15.060596 12.158595 10.397966 9.093542 8.152250 5.077826 5.035092 4.603323 4.088552 3.856009 3.646596 3.400442 3.108443 2.826499 2.641857 2.641338 2.589246 2.512326
fact_0001,original,9,True,26,173.40036010742188,40.24372100830078,18.425201416015625,3102 12102 1060 54 15115 2261 13785 4837 94 15336 7919 15975 4044 16351 12088 11635 3517 12228 8490 15573,18.425201 13.575436 13.349913 12.626176 12.285896 10.251224 10.044008 7.595057 7.029241 6.346006 5.729589 5.612204 4.935495 4.758680 4.539060 4.419269 3.845703 3.482148 3.251272 3.247798
fact_0001,original,12,True,38,251.34181213378906,49.758270263671875,23.799991607666016,2620 2291 5155 13431 8817 12342 11306 7805 650 6989 7493 637 10725 7882 8806 8306 10629 8741 3250 2980,23.799992 19.170757 17.654940 10.210706 9.350351 9.040084 8.822125 8.815067 8.689057 8.545150 8.360141 7.432864 7.158141 7.115392 6.971916 6.782544 6.434139 5.588675 4.656669 4.389415
fact_0001,leading_space,6,False,32,184.20120239257812,46.16025161743164,25.260408401489258,15079 6097 6201 5275 13073 13460 2270 716 12328 13202 11159 5730 5509 5004 3499 12589 11908 5989 12513 594,25.260408 22.530869 16.721685 11.503999 10.273252 10.045950 9.691853 5.854365 5.417999 4.488872 4.307696 4.078000 3.911873 3.749375 3.741545 3.569623 3.382432 2.974938 2.875231 2.648934
fact_0001,leading_space,9,False,21,152.35865783691406,39.12527847290039,20.03601837158203,3102 1060 15115 54 13785 7919 2261 12102 4837 5037 11635 15336 15975 10727 94 16351 14660 8490 8945 15049,20.036018 14.757339 14.095280 12.168144 9.269375 7.938662 7.790836 7.679298 7.500103 7.423886 5.729083 5.432965 5.050668 4.226025 4.171688 3.793079 3.522610 3.231640 3.189040 2.682137
fact_0001,leading_space,12,False,47,298.0135803222656,53.73017883300781,23.864299774169922,2620 2291 5155 12342 650 11306 6989 7805 8306 10725 13431 15326 8806 7493 7882 637 8817 8741 10629 12139,23.864300 21.384117 19.512476 11.574039 10.453796 10.193164 8.863349 8.489313 8.170938 8.052434 8.011210 7.907418 7.427605 7.319545 7.143677 7.142769 6.861597 6.710141 5.283892 5.272177
fact_0001,trailing_space,6,True,33,175.31930541992188,43.61360168457031,23.361207962036133,15079 6097 6201 5275 13460 13073 2270 716 5509 13202 12589 11159 3499 5730 7221 5004 12513 11908 2747 5989,23.361208 21.614428 15.111839 12.989905 10.309343 9.058918 8.302249 5.133820 5.071462 4.257895 3.981737 3.747524 3.674334 3.214665 3.069919 2.981821 2.827982 2.820217 2.673763 2.532501
fact_0001,trailing_space,9,True,27,180.39784240722656,41.10337829589844,18.17580795288086,3102 12102 1060 54 15115 2261 13785 4837 94 15336 7919 15975 4044 12088 16351 11635 3517 12228 14660 10727,18.175808 14.645046 13.934063 12.318397 12.314659 10.336418 9.249537 7.919828 7.857647 6.914565 6.078034 5.865029 5.375938 5.019669 4.554013 4.422261 3.991409 3.936844 3.676168 3.473883
fact_0001,trailing_space,12,True,40,260.12255859375,50.01544189453125,23.364933013916016,2620 2291 5155 13431 8817 12342 7493 6989 650 11306 7805 637 7882 8806 8306 10725 10629 8741 1656 3250,23.364933 18.591171 17.879988 10.837940 9.880965 9.745578 8.938632 8.882968 8.876678 8.434975 8.047910 7.625074 6.978789 6.648318 6.586985 6.543143 6.527017 6.072318 4.359330 4.027459
fact_0001,space_before_qmark,6,True,33,177.3391571044922,43.8478889465332,23.02730941772461,15079 6097 6201 5275 13460 13073 2270 716 5509 11159 13202 12589 5730 11908 5004 3499 9687 12513 16028 2747,23.027309 21.961437 15.431784 12.148437 10.746151 9.326443 8.924383 4.934792 4.926899 4.842258 4.066188 3.751633 3.702035 3.220740 3.165138 3.106052 2.948538 2.870872 2.702813 2.660971
fact_0001,space_before_qmark,9,True,26,174.3780059814453,40.19745635986328,17.826393127441406,3102 12102 1060 54 15115 13785 2261 4837 15336 4044 94 15975 7919 12088 11635 16351 4048 12228 3517 10727,17.826393 14.564327 13.204145 12.573044 11.695591 9.830879 9.531810 7.160335 7.081686 6.591556 6.305370 6.044087 5.734603 5.421509 4.817163 4.622242 4.163676 3.999732 3.435353 3.080653
fact_0001,space_before_qmark,12,True,32,231.28164672851562,48.558963775634766,23.453624725341797,2620 2291 5155 13431 7493 12342 8817 650 11306 6989 7805 10629 10725 7882 637 8306 8741 8806 3250 6913,23.453625 19.096937 17.080900 10.053623 9.359747 8.843443 8.813862 8.639177 8.281379 7.972076 7.789779 7.755655 7.277574 6.932025 6.813907 6.524409 6.053040 6.024373 5.107141 4.722116
fact_0001,no_qmark,6,False,39,193.99436950683594,43.8057746887207,23.196834564208984,15079 6097 6201 13460 5275 13073 2270 11159 13202 5509 716 5730 10846 175 9687 5004 11908 2747 3499 12513,23.196835 20.587090 14.989246 11.118363 10.757672 9.547245 8.550779 6.962222 6.092624 5.204402 4.436938 3.747221 3.732193 3.380572 3.361457 3.317233 3.203424 3.132265 3.100436 2.858295
fact_0001,no_qmark,9,False,30,191.69393920898438,41.45551300048828,17.107662200927734,12102 3102 54 1060 15115 2261 13785 15336 4837 94 11635 3999 16351 7919 15975 3517 12228 4044 12088 6247,17.107662 15.676069 13.660860 13.175358 12.364248 10.614959 8.560437 7.274844 6.793040 5.995067 5.764219 5.585543 5.568453 5.532110 5.380572 5.014397 4.481129 4.226659 4.162015 3.681175
